ibge,uf,region
270330,AL,
270330,AL,
270330,AL,ND
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270340,AL,
270350,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,ND
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270360,AL,
270370,AL,
270375,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,ND
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270380,AL,
270390,AL,
270390,AL,
270390,AL,
270390,AL,
270390,AL,
270390,AL,
270390,AL,
270390,AL,
270390,AL,ND
270390,AL,
270390,AL,
270390,AL,
270390,AL,
270390,AL,
270390,AL,
270390,AL,
270390,AL,
270390,AL,
270400,AL,
270400,AL,
270400,AL,
270400,AL,
270400,AL,
270400,AL,
270400,AL,
270400,AL,
270400,AL,
270400,AL,
270400,AL,
270400,AL,
270400,AL,
270400,AL,
270400,AL,
270400,AL,
270400,AL,
270400,AL,
270400,AL,
270400,AL,
270400,AL,
270400,AL,
270400,AL,
270400,AL,
270400,AL,
270410,AL,
270420,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,ND
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,ND
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,ND
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270430,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,ND
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270440,AL,
270450,AL,
270450,AL,
270450,AL,
270450,AL,
270450,AL,
270450,AL,
270450,AL,ND
270450,AL,
270450,AL,
270450,AL,
270450,AL,
270450,AL,
270450,AL,
270450,AL,
270450,AL,
270450,AL,
270450,AL,
270450,AL,
270450,AL,
